adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/bHtlDAORBQiYKCJMwDP9WBgcQHM.jpg,[18],1317288,en,Marty Supreme,"Marty Mauser, a young man with a dream no one respects, goes to hell and back in pursuit of greatness.",93.6353,/lYWEXbQgRTR4ZQleSXAgRbxAjvq.jpg,2025-12-19,Marty Supreme,False,7.554,918
False,/lNYympQM5O6QSInusbyG9eJDIe4.jpg,"[16, 28, 14]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"The Demon Slayer Corps are drawn into the Infinity Castle, where Tanjiro, Nezuko, and the Hashira face terrifying Upper Rank demons in a desperate fight as the final battle against Muzan Kibutsuji begins.",94.6832,/fWVSwgjpT2D78VUh6X8UBd2rorW.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Infinity Castle,False,7.668,731
False,/yWZc7ZglTAecVLKHS0oROuetKce.jpg,"[80, 53]",1171145,en,Crime 101,"When an elusive thief whose high-stakes heists unfold along the iconic 101 freeway in Los Angeles eyes the score of a lifetime, with hopes of this being his final job, his path collides with a disillusioned insurance broker who is facing her own crossroads. Determined to crack the case, a relentless detective closes in on the operation, raising the stakes even higher.",84.2924,/2HoR2x23bqKpopluoBD1FH3tBi7.jpg,2026-02-11,Crime 101,False,6.886,88
False,/15sarvi4KF6WFtCQbKgcxG8iOj.jpg,"[27, 53]",1146344,en,Misdirection,"A desperate couple have pulled off a string of high-end break-ins to pay off a mob debt. When they attempt to rob their latest victim, they find themselves caught in a deadly game of cat and mouse. The tables are turned and the hunters become the hunted.",85.519,/z7padnoIDHbmxPdqEHryhqlaVqc.jpg,2026-01-13,Misdirection,False,5.979,24
False,/wCwZ4ljSsWyZyTiyk1tGQtBHTDx.jpg,"[28, 18]",1511417,te,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.",80.9801,/z9YIo2qscyaXYgRqIdRJtND3bw8.jpg,2025-10-29,Bāhubali: The Epic,False,6.0,31
False,/eUERZRVjCTNdgnESlQxyaOJ2d4K.jpg,[28],1584215,en,The Internship,"A CIA-trained assassin recruits other graduates from her secret childhood program, The Internship, to violently destroy the organization. The CIA fights back with deadly force.",76.0536,/fYqSOkix4rbDiZW0ACNnvZCpT6X.jpg,2026-01-13,The Internship,False,6.3,49
False,/fIuuYkIjF9Q7W26YbIeKX5OWwiL.jpg,[18],1600028,es,La celda de los milagros,"After being falsely accused of a terrible crime, Hector, a man with a neurological disability, goes to a secret prison. His goodness conquers the prisoners, who plan to prove their innocence.",83.4738,/heC13pt4SV7y3HF5lWNzf0u729j.jpg,2025-12-25,A Father's Miracle,False,7.689,37
False,/gLXibzLQ4qegvjdqDC0f8yTij2P.jpg,"[9648, 53, 28]",1310568,en,Murder at the Embassy,"1934. Private detective Miranda Green investigates a murder perpetrated in the British Embassy in Cairo, where a top secret document was stolen, risking to jeopardize both Buckingham Palace and the peace of the world. All those present in this closed place are suspected: the American photographer, the English student, the American actress, the Egyptian security guard, the ambassador interpreter, the Egyptian gardener and - why not? — the Ambassador himself. But who would have expected that a small group of Nazis would be behind a plot, risking to jeopardize both Buckingham Palace and the peace of the world?",75.1376,/3DBmBItPdy0A2ol59jgHhS54Lua.jpg,2025-11-14,Murder at the Embassy,False,5.843,35
False,/swxhEJsAWms6X1fDZ4HdbvYBSf9.jpg,"[12, 35, 27, 28]",1234731,en,Anaconda,"A group of friends facing mid-life crises head to the rainforest with the intention of remaking their favorite movie from their youth, only to find themselves in a fight for their lives against natural disasters, giant snakes and violent criminals.",74.2932,/qxMv3HwAB3XPuwNLMhVRg795Ktp.jpg,2025-12-24,Anaconda,False,5.811,655
False,/3F2EXWF1thX0BdrVaKvnm6mAhqh.jpg,"[28, 53, 80]",1306368,en,The Rip,"Trust frays when a team of Miami cops discovers millions in cash inside a run-down stash house, calling everyone — and everything — into question.",77.1408,/4wsYWH73Hb1B6noGIFaRQSAkuXj.jpg,2026-01-13,The Rip,False,7.059,1240
False,/lAtuFCx6cYkNBmTMSNnLE0qlCLx.jpg,"[28, 80, 10749]",1271895,zh,96分鐘,"Former bomb disposal expert, Song Kang-Ren, and his fiancée, Huang Xin, board a high-speed train that contains a bomb. At the same time, Liu Kai, a well-known physics teacher who was involved in an affair scandal, also boards this same train in order to win back his wife, Ting Juan, who took the prior high-speed rail to return home in frustration…  After all, can the bomb be successfully defused this time? and resolve the crisis?",71.2881,/gWKZ1iLhukvLoh8XY2N4tMvRQ2M.jpg,2025-09-05,96 Minutes,False,5.911,56
False,/vHvVt2Lovn4G6of9u3pHEQE2CxI.jpg,"[27, 9648]",1323625,en,Night Patrol,An L.A. cop discovers a local task force is hiding a secret that puts the residents of his childhood neighborhood in danger.,76.1087,/rNqLzACU9ez2ehDalTFDPjZiC4G.jpg,2026-01-16,Night Patrol,False,4.5,20
False,/nLxoXMY7LnS8ymfNWusCV1wuK7V.jpg,"[27, 53]",1052558,en,iPossessed,"A group of celebrating friends make a pact with a demon to stay the night or someone loses their soul, only to find out the demons they are fighting might be the ones they carry inside.",69.417,/kmnaCRTinFPN8iplWgdGQZ52WzY.jpg,2025-01-15,iPossessed,False,6.2,10
