adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/zfbjgQE1uSd9wiPTX4VzsLi0rGG.jpg,"[18, 80]",278,en,The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",37.6171,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,1994-09-23,The Shawshank Redemption,False,8.715,29783
False,/cd8YDn7M0lfaHhZdU6MvCDxPalP.jpg,"[28, 12, 878]",76600,en,Avatar: The Way of Water,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",37.4795,/t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,2022-12-14,Avatar: The Way of Water,False,7.598,13732
False,/mBc6RB7VajfykLqGx0ue7qatXky.jpg,[18],1266990,tl,Kulong,"Three friends retreat to a resort to collaborate on a daring screenplay for a contest. Faced with the challenge of writing about passion despite their own dry spells, their journey soon blurs the line between imagination and experience.",38.8728,/AnzrE2WHg3DtZrtmB9AnEbAh17m.jpg,2024-05-24,Kulong,False,6.433,15
False,/of6OQnsvPHXEASczrBc3nVsMZ7q.jpg,[18],10774,en,Network,"When veteran anchorman Howard Beale is forced to retire his 25-year post because of his age, he announces to viewers that he will kill himself during his farewell broadcast. Network executives rethink their decision when his fanatical tirade results in a spike in ratings.",35.7342,/qZomlHsaALUtkFeMDwdYmwS2Pbo.jpg,1976-11-27,Network,False,7.81,1959
False,/cYyNJzwhaj7aC4uTlUctrfaERbf.jpg,"[28, 18, 36]",1305781,zh,镖人：风起大漠,"Dao Ma, the ""second most wanted fugitive,"" is entrusted by his benefactor, the chief of Mo family clan, to take on a mysterious escort mission-escorting the ""most wanted fugitive"" to Chang'an.",43.3437,/AbunjMKX4P1sDNlKfhYrWkIoRD9.jpg,2026-02-17,Blades of the Guardians,False,7.9,10
False,/yCatt8lmp3oRFEcOZF8KHhsiASQ.jpg,"[28, 10752]",1223601,fi,Sisu 2,"Returning to the house where his family was brutally murdered during the war, ""the man who refuses to die"" dismantles it, loads it on a truck, and is determined to rebuild it somewhere safe in their honor. When the commander who killed his family comes back hellbent on finishing the job, a relentless, eye-popping cross-country chase ensues.",37.7881,/jNsttCWZyPtW66MjhUozBzVsRb7.jpg,2025-10-21,Sisu: Road to Revenge,False,7.347,554
False,/7UsW6pKkCdCmceBmdQ0MvV6zKhL.jpg,[18],1242015,fr,Jeunes mères,"Housed in a shelter for young mothers, Jessica, Perla, Julia, Ariane, and Naïma, all of whom have grown up in difficult circumstances, struggle to obtain a better life for themselves and their children.",39.6536,/okfaa71H1P0WC1uzYliOgYS2gte.jpg,2025-05-23,Young Mothers,False,6.5,42
False,/yWRYg5M2iEkcZpepQNMfKCs50gt.jpg,[18],1440144,es,La deuda,"Lucas, a 47-year-old boy, and Antonia, an old woman, live together in an apartment in the center of the city. Their life goes on as usual until an investment fund acquires the building to turn it into tourist apartments. Lucas tries to get the necessary money to avoid the loss of the house, but a wrong decision will change the rest of their lives.",36.2303,/8LFKzVhsPJmIA9v5BVDGGLk3Ltl.jpg,2025-10-04,La deuda,False,6.571,7
False,/rBYrtkAy9YtRuFpX1g6JbcjRT8h.jpg,"[10749, 18, 35]",1287141,en,Pillion,"Colin, a timid gay man, is swept off his feet when Ray, an enigmatic and impossibly handsome biker, takes him on as his submissive in a crazy and erotic BDSM-focused relationship.",39.0996,/7Pd6ChSQjSXy4snJiorSdzg2cG3.jpg,2025-11-28,Pillion,False,6.09,83
False,/zNriRTr0kWwyaXPzdg1EIxf0BWk.jpg,"[878, 12, 28]",1234821,en,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",39.915,/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg,2025-07-01,Jurassic World Rebirth,False,6.306,3013
False,/oIJjO1CvEdTMFNkWfHaV0RB584G.jpg,"[28, 80, 53]",628847,en,Trap House,"An undercover DEA agent and his partner embark on a game of cat and mouse with an audacious, and surprising group of thieves - their own rebellious teenagers, who have begun robbing from a dangerous cartel, using their parents' tactics and top-secret intel to do it.",35.5075,/6tpAPeuuqbVnYWWPoOLEDLSBU7a.jpg,2025-11-14,Trap House,False,6.539,220
False,/nAxGnGHOsfzufThz20zgmRwKur3.jpg,"[27, 28, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",38.3589,/qTvFWCGeGXgBRaINLY1zqgTPSpn.jpg,2025-04-16,Sinners,False,7.49,3763
False,/q2UhJtqp4ONeARofhpIHx4S0ElU.jpg,[18],1549519,tl,Sex Trip,"On a final trip after college graduation, five friends go on a hiking trip and discover a mystical cave that unleashes forbidden desires within them, igniting a night of uninhibited passion, partner-swapping, and raw sexual exploration leaving them forever changed.",36.0504,/sr4sLilBbPx4TfPnX2zzUxlySgu.jpg,2026-02-20,Sex Trip,False,0.0,0
False,/ceyakefyCRAgyeFhefa2bz6d9QO.jpg,"[18, 14, 27]",1062722,en,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.",39.8112,/g4JtvGlQO7DByTI6frUobqvSL3R.jpg,2025-10-17,Frankenstein,False,7.666,2977
False,/75CQb5bFSFiQwOgWU5BMjYKmSv8.jpg,"[878, 28]",10529,en,Outlander,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",30.7263,/nCZzrFonDkWfYkfxzsPByBY4Lvk.jpg,2008-04-24,Outlander,False,6.452,1376
False,/hiKmpZMGZsrkA3cdce8a7Dpos1j.jpg,"[35, 53, 18]",496243,ko,기생충,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",32.9077,/7IiTTgloJzvGI1TAYymCfbfl3vT.jpg,2019-05-30,Parasite,False,8.493,20180
False,/AqRYUwWbHpbP8PK2q8magXOlOI8.jpg,"[35, 10749, 18]",14874,en,Try Seventeen,"Teenager Jones has opted not to go to college and is instead renting a room in a boarding house to work on his writing skills. Soon, Jones finds himself dividing his time between two women: a young actress named Lisa and a photographer named Jane. After Jane's ex-boyfriend arrives to help her recover from a car accident, Jones begins to understand just how much he cares for her.",30.9883,/wNOIMMhPaBiFaDEHOODFEHg8Ef8.jpg,2002-09-10,Try Seventeen,False,6.197,117
False,/2nVyPZuBYOUhhjsilF59ik9GIsG.jpg,"[35, 28, 53, 10749]",1340076,en,Untitled Home Invasion Romance,"As a last-ditch attempt to save his failing marriage, an actor stages a home invasion during a romantic getaway weekend.",34.7294,/aBMnVU5yrsP5XMBZhG8aT2w6m9u.jpg,2026-01-27,Untitled Home Invasion Romance,False,5.6,18
False,/xGbNoh7aWmU81oYuxJoFI07Rz5I.jpg,"[28, 53, 80]",1326878,en,Strangers,"Seeking revenge on her abusive husband, a woman's life takes a dark turn when she meets a mysterious hitman. Drawn into a whirlwind romance, she spirals into a dangerous vigilante spree. As the body count rises, she begins to unravel the true nature of her partner and the secrets they both conceal.",36.0137,/v6hYeC1asK2ZRU7Ygukn4tV1zlS.jpg,2024-08-16,Strangers,False,5.75,32
False,/atWzbjlDkfbkh4mdY3uuiF9vr3r.jpg,"[10749, 18]",1268609,ko,파반느,Three lonely strangers meet at their department store jobs and find solace in each other's company while they explore connection and the nature of love.,32.5027,/wOXc8stx1CLvM6GC0ABKfWOkbYw.jpg,2026-02-19,Pavane,False,7.5,13
False,/2Py1YSWpCA2gsZxl0bPk3sOrL37.jpg,"[18, 27, 10749, 878]",461992,en,Hostile,"Juliette, a lone survivor of an apocalyptic era, fights to survive against hunger, thirst, a broken leg and strange disturbing creatures that only come out at nighttime.",32.8135,/xnvFRg5TxGYIMKQJjA41lv0RNcg.jpg,2018-03-08,Hostile,False,5.8,396
False,/8vLt9TYFZdAwYtqImvggTM5yFnF.jpg,"[878, 12, 18]",982843,ko,대홍수,"When a raging flood traps a researcher and her young son, a call to a crucial mission puts their escape — and the future of humanity — on the line.",36.1527,/1tUOZQDgZaGqZtrB21MieiXARL2.jpg,2025-09-18,The Great Flood,False,5.987,598
False,/eTodr0PX3fIDM4VFKJakpPGMZbp.jpg,"[27, 9648, 53]",1528660,en,Holy Ghost,"A kidnapped girl in Augusta claims her rescuer was Jim, a deceased cop. Detective Wells probes the case as another child vanishes, revealing old murders and raising questions about a ghostly presence.",32.1973,/z1lwn6GWAjJ7CSn80ZcURb0Cj4G.jpg,2025-08-11,Holy Ghost,False,6.708,12
False,/1KFv63mmcBGVbFl3jxxozoSFlhA.jpg,"[28, 18]",911430,en,F1,Racing legend Sonny Hayes is coaxed out of retirement to lead a struggling Formula 1 team—and mentor a young hotshot driver—while chasing one more chance at glory.,34.7586,/vqBmyAj0Xm9LnS1xe1MSlMAJyHq.jpg,2025-06-25,F1,False,7.767,3398
False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",31.4277,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,Avengers: Infinity War,False,8.234,31514
False,/l4OoypppukFqas6qks0ZekEwY0c.jpg,"[18, 10751, 35]",1362057,en,BLUNT,"When your knife turns blunt, do you sharpen it or let it become a glorified butter knife at dad's company brunches? Something only you can answer.",32.4381,/klqBFCUU1lMZ2SsMQdQ7E0buneB.jpg,2025-09-06,BLUNT,False,0.0,0
False,/oz4U9eA6ilYf1tyiVuGmkftdLac.jpg,"[18, 10749, 53]",1010581,es,Culpa mía,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",29.9157,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,2023-06-08,My Fault,False,7.763,3997
False,/1gLFGrxHqQebqLWpISmoFR6XWtJ.jpg,"[28, 53]",1088434,en,Hellfire,A drifter with a mysterious past arrives in a small town and finds the residents in the grip of a ruthless crime boss and realizes he has to help them.,32.9245,/tQti9QTf13MfzNpXguijgNh7ojE.jpg,2026-02-05,Hellfire,False,7.308,26
False,/mZGsJUzQ4dONUBccxhImBqxaSQt.jpg,"[28, 12, 14]",1131759,ko,전지적 독자 시점,"Kim Dok-ja, an ordinary man in his 20s, is the only reader of an obscure web novel titled ""Three Ways to Survive the Apocalypse"". After having read the last chapter, the novel suddenly becomes reality, and its omnipotent hero Yu Jung-hyeok appears before Kim. As the only person who knows how to survive in this world, Kim and his companions strive to save the world by writing his own, new ending.",30.8895,/3R3dXO2nm8JyR5NG7SEfii7RzlV.jpg,2025-07-23,Omniscient Reader: The Prophecy,False,6.819,69
False,/gMItMzDOyrfQGZsMWRM9tdxq5cV.jpg,"[878, 28, 27]",1196067,en,Worldbreaker,"Five years ago, a tear in the fabric of reality brought creatures to our world from an alternate dimension bent on our destruction. A father hides his daughter on an island to keep her safe while he prepares her for survival and the battles to come. But when the world is about to break, no place is safe.",31.8283,/7K8w6mdrJp0oaSoKWGyjSZ4Zv2z.jpg,2025-10-30,Worldbreaker,False,6.0,83
False,/pUNfHmVqfwRdILhCkU8TdysVOXo.jpg,"[878, 12, 28]",533533,en,TRON: Ares,"A highly sophisticated Program called Ares is sent from the digital world into the real world on a dangerous mission, marking humankind's first encounter with A.I. beings.",32.1098,/chpWmskl3aKm1aTZqUHRCtviwPy.jpg,2025-10-08,TRON: Ares,False,6.478,1206
False,/aJDLz1748CIMZkCkyISYe5Hl6I7.jpg,"[878, 12, 28]",1061474,en,Superman,"Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",31.2984,/ldyfo0BKmz5rWtJJKCvwaNS4cJT.jpg,2025-07-09,Superman,False,7.361,4361
False,/nTbO6UF944b0VZrgypMK5rFYRSW.jpg,"[27, 9648]",680493,en,Return to Silent Hill,"When James receives a mysterious letter from his lost love Mary, he is drawn to Silent Hill—a once-familiar town now consumed by darkness. As he searches for her, James faces monstrous creatures and unravels a terrifying truth that will push him to the edge of his sanity.",31.6675,/fqAGFN2K2kDL0EHxvJaXzaMUkkt.jpg,2026-01-21,Return to Silent Hill,False,5.096,171
False,/55e59Ls6zc37c7orbaWDyriyGPi.jpg,"[27, 53]",1373198,en,Twisted,Two millennials make quick money by leasing incredible New York City apartments they don’t own to people who don’t know they are being scammed. The con works brilliantly until they run into an apartment owner with a dark secret who flips the game on them.,26.9259,/rF6txsM6cgF9vg6Ra5sNbkvUwrw.jpg,2026-02-06,Twisted,False,4.4,35
False,/yjOSpDQe8tzr8easpjTFVoQXsOX.jpg,"[878, 28, 12, 35]",1119449,en,"Good Luck, Have Fun, Don't Die",A man claiming to be from the future takes the patrons of an iconic Los Angeles diner hostage in search of unlikely recruits in a quest to save the world.,26.3312,/af7yguGbWQyvYtk6QCD5l4yBbKN.jpg,2026-02-13,"Good Luck, Have Fun, Don't Die",False,7.273,22
False,/3cVrg7tzSf5AgEecYWDOSAzXAeX.jpg,"[27, 9648]",1408208,ja,８番出口,"A man trapped in an endless sterile subway passageway sets out to find Exit 8. The rules of his quest are simple: do not overlook anything out of the ordinary. If you discover an anomaly, turn back immediately. If you don’t, carry on. Then leave from Exit 8. But even a single oversight will send him back to the beginning. Will he ever reach his goal and escape this infinite corridor?",30.0569,/cWHmaDXnRPAC9HBbjUBfJW7MxO0.jpg,2025-08-28,Exit 8,False,6.3,195
False,/9tOkjBEiiGcaClgJFtwocStZvIT.jpg,"[16, 12, 10751, 35]",269149,en,Zootopia,"Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",30.0894,/hlK0e0wAQ3VLuJcsfIYPvb4JVud.jpg,2016-02-11,Zootopia,False,7.759,17709
False,/lf8IZ86ajGpgbuyHCZrXUeAMmvy.jpg,"[28, 12, 878]",1033462,zh,749局,A traumatized young man with physical abnormalities is forced to join a mysterious bureau to confront a disaster spreading across the earth caused by an unknown creature. He embarks on an adventure uncovering mysteries about his life.,31.2905,/flykCMw22y6yv8vKnBjmsW3pneo.jpg,2024-10-01,Bureau 749,False,6.302,91
False,/euoXeFAOt9o7yAWA9zGZk7DdZWZ.jpg,"[18, 35]",1208348,en,Rental Family,"An American actor in Tokyo struggles to find purpose until he lands an unusual gig: working for a Japanese 'rental family' agency, playing stand-in roles for strangers. As he immerses himself in his clients' worlds, he begins to form genuine bonds that blur the lines between performance and reality.",30.5753,/nRrwqApUDFL8gLGyJFIdDkmoule.jpg,2025-11-20,Rental Family,False,7.8,440
False,/8btfz81bOJ2lC7cujYBTw03wzg3.jpg,"[16, 14, 12, 28]",980477,zh,哪吒之魔童闹海,"After a catastrophic event leaves their bodies destroyed, Ne Zha and Ao Bing are granted a fragile second chance at life. As tensions rise between the dragon clans and celestial forces, the two must undergo a series of perilous trials that will test their bond, challenge their identities, and decide the fate of both mortals and immortals.",30.7548,/cb5NyNrqiCNNoDkA8FfxHAtypdG.jpg,2025-01-29,Ne Zha 2,False,8.11,593
False,/gtKglOSEq3d4MgQE4VsrT1sRkd0.jpg,"[16, 28]",1539104,ja,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,"A veil abruptly descends over the busy Shibuya area amid the bustling Halloween crowds, trapping countless civilians inside. Satoru Gojo, the strongest jujutsu sorcerer, steps into the chaos. But lying in wait are curse users and spirits scheming to seal him away. Yuji Itadori, accompanied by his classmates and other top-tier jujutsu sorcerers, enters the fray in an unprecedented clash of curses — the Shibuya Incident. In the aftermath, ten colonies across Japan are transformed into dens of curses in a plan orchestrated by Noritoshi Kamo. As the deadly Culling Game starts, Special Grade sorcerer Yuta Okkotsu is assigned to carry out Yuji's execution for his perceived crimes. A compilation movie of Shibuya Incident including the first two episodes of the Culling Games arc.",29.9727,/v0s3dx6am0RzfsuK3KdEy8ZoCDs.jpg,2025-11-07,JUJUTSU KAISEN: Execution,False,5.704,81
False,/2Ve7sjxLb3rKG8qJ1t7QEuNI0UM.jpg,[18],1241742,tl,EKS,"Three compelling stories in one erotic experience. Yen Durano plays three different women in three titillating stories. In a collaboration of three directors: Roman Perez, Jr., Sigrid Polon, and Omar Deroca.",28.8318,/gcK3HgN6IHNOviXnX11W6aFLTGv.jpg,2024-03-01,EKS,False,4.333,6
False,,"[28, 35]",31251,en,Angels' Brigade,"Six sexy women, and a teenage girl, devastate a right-wing militia before doing battle with ruthless drug pushers.",26.9206,/l4TzXV6PiMndm1Hdm3Uvs9cVHZ3.jpg,1979-02-01,Angels' Brigade,False,3.093,27
False,/ebRgQx5uLavQdK5GTha3zk1sRIC.jpg,"[53, 80]",1464374,es,Los Tigres,"Antonio and Estrella are diving siblings. He works in maritime works, she studies underwater life and assists him. Its precarious economy could improve after finding cocaine hidden in the hull of a ship anchored in Huelva.",35.0596,/etJ74W3D9ZdpIk67dRSmC0akhjm.jpg,2025-10-31,Los Tigres,False,6.229,24
False,/xnHVX37XZEp33hhCbYlQFq7ux1J.jpg,"[18, 10749]",597,en,Titanic,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",29.365,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,1997-12-18,Titanic,False,7.902,26812
False,/asWJoeclSZ0HiNVMcr9uTzzRwwl.jpg,"[27, 878]",34098,en,Ticks,"Teens camping in a northern California retreat are terrorized by mutant insects created by evil, polluting pot farmers.",26.3547,/3tfMPBgpfwu2V403u9gST5ReWl9.jpg,1993-10-12,Ticks,False,5.708,178
